ticker,quelle,jahre,roic,umsatz_cagr,eps_cagr,ek_cagr,fcf_cagr
FMG.AX,Yahoo,4.0,19.4,0.1,-15.8,4.1,-7.8
LRCX,SEC,11.0,25.2,13.4,1.0,7.8,20.9
LUG.TO,Yahoo,4.0,37.5,29.8,119.3,17.0,40.1
ILU.AX,Yahoo,4.0,11.1,-14.3,,3.0,
KKR,SEC,11.0,,4.4,,23.6,8.3
LOW,SEC,11.0,195.7,2.8,15.8,,5.8
PSN.L,Yahoo,4.0,10.3,-0.6,-20.3,1.7,
2318.HK,Yahoo,4.0,5.8,6.7,5.9,4.8,11.6
ADSK,SEC,11.0,11.9,38.5,,6.5,19.3
1980.T,Yahoo,4.0,14.5,11.3,59.0,16.6,59.8
DASH,SEC,6.0,-4.7,36.6,,16.4,71.6
EQTL3.SA,Yahoo,4.0,7.9,23.4,2.6,15.7,
RMD,SEC,11.0,17.5,11.7,15.4,14.5,15.7
CMIG4.SA,Yahoo,4.0,15.9,10.4,23.9,9.5,-21.7
TUI1.DE,Yahoo,4.0,36.1,13.5,,,-5.5
0386.HK,Yahoo,4.0,6.9,-5.7,-21.2,1.7,
9531.T,Yahoo,4.0,7.5,-4.8,0.4,3.3,-19.7
1968.T,Yahoo,4.0,9.5,4.0,0.5,12.7,
MCHP,SEC,11.0,7.1,23.5,-3.4,11.7,9.6
GQG.AX,Yahoo,4.0,,22.6,26.0,12.5,25.1
1876.HK,Yahoo,4.0,8.6,-3.8,-19.0,-1.6,-15.9
3692.HK,Yahoo,4.0,11.7,17.0,28.3,16.0,36.6
MTS.AX,Yahoo,4.0,18.1,3.2,-1.8,16.7,0.9
PSH.L,Yahoo,4.0,,,,15.1,
AXON,SEC,11.0,3.8,57.7,32.6,35.4,6.4
5411.T,Yahoo,4.0,3.6,-4.8,-27.8,7.3,
MRNA,SEC,8.0,-0.9,218.4,,28.1,
2628.HK,Yahoo,4.0,4.5,-9.7,68.5,10.9,9.4
0012.HK,Yahoo,4.0,2.1,0.2,-13.2,-0.6,3.5
9618.HK,Yahoo,4.0,8.9,7.8,26.2,1.8,-48.4
TFPM.TO,Yahoo,4.0,3.8,36.8,49.9,15.8,12.5
SVM.TO,Yahoo,4.0,8.1,28.2,,24.4,80.8
1969.T,Yahoo,4.0,12.9,7.8,41.0,13.8,5.9
AKAM,SEC,11.0,10.2,-3.2,20.1,4.8,8.4
MLM,SEC,11.0,8.1,-13.5,15.9,9.5,14.4
2899.HK,Yahoo,4.0,16.2,8.9,36.0,27.8,125.3
WYNN,SEC,11.0,4.7,25.8,13.8,,
1934.T,Yahoo,4.0,6.9,3.5,17.9,4.9,-12.3
PDI.AX,Yahoo,3.0,-7.1,,,51.5,
MKC,SEC,11.0,6.7,24.2,9.7,8.9,7.6
LHX,SEC,11.0,8.9,21.5,10.6,19.2,14.3
FRA.DE,Yahoo,4.0,14.0,11.5,48.4,9.8,100.3
7203.T,Yahoo,4.0,7.5,10.9,18.1,12.1,
AIF.TO,Yahoo,4.0,1.1,-11.9,,-8.5,13.9
EDV.L,Yahoo,4.0,12.4,27.0,,-6.1,24.2
ASAI3.SA,Yahoo,4.0,15.4,20.8,-21.8,23.9,158.8
LSPD.TO,Yahoo,4.0,-18.5,18.9,,-15.9,
FLEX,SEC,11.0,6.3,23.9,35.7,8.5,5.3
0981.HK,Yahoo,4.0,4.1,8.6,-26.9,3.8,
AZN.ST,Yahoo,4.0,10.3,9.8,45.8,9.5,6.2
7012.T,Yahoo,4.0,11.7,10.2,26.9,15.1,-26.6
CDNS,SEC,11.0,22.3,13.8,17.5,14.8,16.9
ZAL.DE,Yahoo,4.0,7.2,6.1,139.1,8.7,102.8
4061.T,Yahoo,4.0,1.7,-1.9,7.1,1.6,
IMB.L,Yahoo,4.0,20.0,-0.4,14.8,-11.1,-0.1
1961.T,Yahoo,4.0,12.9,10.1,75.1,10.1,
VRT,SEC,8.0,12.1,50.9,73.0,159.3,
JHSF3.SA,Yahoo,4.0,12.0,21.6,42.9,12.4,
6762.T,Yahoo,4.0,8.2,4.7,19.6,14.5,
4507.T,Yahoo,4.0,11.7,5.4,24.1,15.3,9.0
NAS.OL,Yahoo,4.0,20.7,25.9,40.9,22.2,15.5
ARES,SEC,11.0,,56.2,,33.0,
9633.HK,Yahoo,4.0,34.4,16.5,22.9,17.9,23.1
LYB,SEC,11.0,14.2,-3.3,,4.4,-21.6
OBM.AX,Yahoo,4.0,-48.8,73.6,,148.9,
WHC.AX,Yahoo,4.0,20.8,-3.8,-25.7,4.0,-46.8
AOS,SEC,11.0,21.6,29.5,20.6,3.0,8.2
TPR,SEC,11.0,14.8,26.9,59.1,-12.7,17.5
1938.T,Yahoo,4.0,6.1,11.3,26.0,6.8,33.9
BBUC.TO,Yahoo,4.0,,-21.8,,,
BHC.TO,Yahoo,4.0,,8.1,,,
TEL.OL,Yahoo,4.0,8.2,-0.1,-45.7,5.4,-1.1
NDX1.DE,Yahoo,4.0,-3.3,9.9,,13.3,
ONGC.NS,Yahoo,4.0,11.9,-1.3,4.1,9.3,18.7
AAF.L,Yahoo,4.0,23.7,6.9,-29.1,-4.7,34.8
TAH.AX,Yahoo,4.0,-8.5,3.3,-82.6,-22.7,-18.6
EXE,SEC,11.0,-51.8,-0.5,,24.1,4.1
HINDUNILVR.NS,Yahoo,4.0,20.7,2.3,14.1,-1.0,3.1
1605.T,Yahoo,4.0,19.4,-4.7,-0.7,8.1,6.3
OTIS,SEC,6.0,,32.8,43.3,,1.5
1093.HK,Yahoo,4.0,14.9,-5.6,-12.7,3.2,-10.2
RKT.L,Yahoo,4.0,15.9,-0.6,12.9,-6.4,-4.9
PBH.TO,Yahoo,4.0,6.8,7.4,-36.8,-3.0,
0291.HK,Yahoo,4.0,14.6,2.5,-8.1,6.1,0.9
IGTI11.SA,Yahoo,4.0,8.3,13.5,,4.4,19.5
1929.HK,Yahoo,4.0,22.8,-0.1,-39.6,-1.5,-55.3
1299.HK,Yahoo,4.0,8.9,,0.3,-1.1,-10.9
IGO.AX,Yahoo,4.0,-4.2,-15.4,,-15.2,-48.1
BC8.DE,Yahoo,4.0,13.2,2.0,-2.9,10.0,69.0
5019.T,Yahoo,4.0,8.9,-5.0,-6.3,5.9,
9999.HK,Yahoo,4.0,15.7,5.3,19.3,15.2,24.8
9064.T,Yahoo,4.0,5.8,1.2,-30.2,-2.2,-14.0
8804.T,Yahoo,4.0,4.2,10.7,23.5,9.8,
AD.AS,Yahoo,4.0,13.1,2.0,-0.5,-2.7,6.9
GRF.MC,Yahoo,4.0,5.1,7.5,23.9,-2.3,
HEXA-B.ST,Yahoo,4.0,6.9,1.7,-15.1,1.3,3.7
CPFE3.SA,Yahoo,4.0,17.2,4.1,2.4,11.4,-8.9
CVNA,SEC,9.0,,62.5,,51.2,
XYL,SEC,11.0,6.7,10.8,20.1,18.6,10.3
KER.PA,Yahoo,4.0,11.6,-10.3,-72.8,1.7,-10.9
8002.T,Yahoo,4.0,9.8,-3.5,7.3,14.9,-8.7
SPGI,SEC,11.0,58.4,46.7,,51.5,16.7
GGP.AX,Yahoo,4.0,-17.2,,,,
BBDC4.SA,Yahoo,4.0,,2.7,4.4,3.8,
HSY,SEC,11.0,30.5,6.6,,11.2,7.5
7202.T,Yahoo,4.0,11.4,2.9,-0.5,4.2,-48.4
EMR.AX,Yahoo,4.0,20.8,27.7,16.4,38.9,50.8
SDF.DE,Yahoo,4.0,2.2,-13.7,,-10.1,-77.8
BX,SEC,11.0,,32.0,32.6,3.6,15.3
EXO.AS,Yahoo,4.0,14.6,,104.9,17.2,5.0
6690.HK,Yahoo,4.0,14.4,7.5,10.2,8.3,12.5
BRBY.L,Yahoo,4.0,14.4,-7.9,,-15.0,
MBG.DE,Yahoo,4.0,8.2,-4.1,-26.7,3.0,-6.1
0868.HK,Yahoo,4.0,10.1,-2.9,-17.5,8.8,2.7
BRAP4.SA,Yahoo,4.0,,-44.5,-47.3,0.8,-19.0
FVI.TO,Yahoo,4.0,5.2,11.6,,10.4,
BAB.L,Yahoo,4.0,16.3,5.3,14.4,20.2,21.1
VEEV,SEC,11.0,6.1,24.4,50.7,33.3,66.5
ALPA4.SA,Yahoo,4.0,-2.2,3.0,67.2,-16.7,
LUN.TO,Yahoo,4.0,9.5,10.0,38.6,10.8,168.5
MAXHEALTH.NS,Yahoo,4.0,10.7,22.4,20.8,13.2,-46.1
BTRW.L,Yahoo,4.0,6.1,1.9,-35.6,11.8,-71.8
DG,SEC,11.0,18.0,30.4,18.1,4.7,9.2
0016.HK,Yahoo,4.0,3.2,-4.1,-9.0,0.4,32.3
0883.HK,Yahoo,4.0,18.2,-2.7,-5.3,10.4,-4.2
1099.HK,Yahoo,4.0,17.2,1.4,-5.7,7.2,-12.3
RDDT,,0.0,,,,,
6361.T,,0.0,,,,,
TER,SEC,11.0,12.4,20.9,,3.6,5.1
LUV,SEC,11.0,4.2,3.6,-0.4,0.8,-5.5
PYPL,SEC,11.0,10.5,40.2,33.5,3.9,11.8
CCL,SEC,11.0,-1.6,4.2,-1.1,-6.4,1.5
7532.T,,0.0,,,,,
GIL.TO,,0.0,,,,,
FLT.AX,,0.0,,,,,
WAF.DE,,0.0,,,,,
MPWR,SEC,11.0,10.3,51.3,48.9,25.4,31.3
ASM.AS,,0.0,,,,,
HAG.DE,,0.0,,,,,
EFX.TO,,0.0,,,,,
EIX,SEC,11.0,4.6,23.5,,2.6,
ATZ.TO,,0.0,,,,,
CAT,SEC,11.0,,19.9,,,4.4
ANA.MC,,0.0,,,,,
NXT.AX,,0.0,,,,,
ACS.MC,,0.0,,,,,
ARE.TO,,0.0,,,,,
PCG,SEC,11.0,-13.5,3.9,-4.1,7.0,
FDR.MC,,0.0,,,,,
RCL,SEC,11.0,4.4,9.5,32.4,2.2,14.0
7011.T,,0.0,,,,,
PRY.MI,,0.0,,,,,
KOG.OL,,0.0,,,,,
ODFL,SEC,11.0,17.3,,3.1,9.9,9.5
ENR.DE,,0.0,,,,,
FIX,SEC,11.0,21.2,14.4,55.5,21.6,29.6
CHC.AX,,0.0,,,,,
CARR,SEC,6.0,,36.5,11.5,,8.2
IR,SEC,9.0,6.4,16.1,39.7,37.8,61.3
HOT.DE,,0.0,,,,,
LHA.DE,,0.0,,,,,
1044.HK,,0.0,,,,,
CMI,SEC,11.0,23.5,27.6,10.1,5.2,9.0
0688.HK,,0.0,,,,,
4063.T,,0.0,,,,,
CLX,SEC,11.0,,27.8,16.1,10.5,0.2
GEV,,0.0,,,,,
TXN,SEC,11.0,14.2,25.0,21.2,5.0,-11.4
PNI.AX,,0.0,,,,,
RCH.TO,,0.0,,,,,
IP,SEC,11.0,20.4,-17.6,,8.9,-4.1
MU,SEC,11.0,4.9,40.4,33.6,16.0,-3.9
AVGO,SEC,8.0,,49.3,8.8,,18.4
DOW.AX,,0.0,,,,,
AMP.MI,,0.0,,,,,
NOD.OL,,0.0,,,,,
HD,SEC,11.0,162.3,29.8,28.4,7.3,5.7
ORK.OL,,0.0,,,,,
DOO.TO,,0.0,,,,,
ABRA.TO,,0.0,,,,,
ADS.DE,,0.0,,,,,
MFG.AX,,0.0,,,,,
MCD,SEC,11.0,4.5,15.5,24.7,,4.3
JBL,SEC,11.0,16.8,2.8,15.1,-4.2,15.5
DHI,SEC,11.0,,26.9,33.6,15.2,17.7
DDOG,SEC,7.0,-1.2,45.4,,29.7,112.3
1109.HK,,0.0,,,,,
EME,SEC,11.0,20.3,9.7,42.6,9.5,17.2
PWR,SEC,11.0,10.0,37.2,35.7,11.2,17.6
HCLTECH.NS,,0.0,,,,,
LOGN.SW,,0.0,,,,,
IMD.AX,,0.0,,,,,
ALGN,SEC,11.0,17.7,10.8,12.3,16.9,10.3
6594.T,,0.0,,,,,
ATRL.TO,,0.0,,,,,
FTT.TO,,0.0,,,,,
AMD,SEC,11.0,6.4,57.8,,,
6504.T,,0.0,,,,,
MARUTI.NS,,0.0,,,,,
1209.HK,,0.0,,,,,
0027.HK,,0.0,,,,,
TIH.TO,,0.0,,,,,
ADI,SEC,11.0,4.6,40.3,21.7,20.9,19.0
NTPC.NS,,0.0,,,,,
GEHC,SEC,3.0,10.8,2.7,22.5,20.6,
HUBB,SEC,11.0,18.1,3.9,14.7,8.3,16.2
AXIA3.SA,,0.0,,,,,
CLNX.MC,,0.0,,,,,
