ticker,quelle,jahre,roic,umsatz_cagr,eps_cagr,ek_cagr,fcf_cagr
LOV.AX,Yahoo,4.0,74.4,23.4,13.0,11.7,26.4
PNR,SEC,11.0,,5.0,,34.1,2.1
1378.HK,Yahoo,4.0,15.2,7.2,11.7,16.2,
TRI.TO,Yahoo,4.0,11.9,4.1,3.7,0.1,15.2
PRX.AS,Yahoo,4.0,12.8,25.2,-3.3,6.4,
AAI.AX,Yahoo,4.0,4.5,1.0,,6.4,18.4
KGX.DE,Yahoo,4.0,7.1,0.5,32.6,2.8,
CYRE3.SA,Yahoo,4.0,12.2,20.3,28.5,12.8,
UMG.AS,Yahoo,4.0,27.5,6.5,24.5,24.6,-2.2
SNZ.AX,Yahoo,4.0,6.2,15.0,-2.5,14.9,1.2
ZIM.AX,Yahoo,4.0,9.9,-12.7,-51.3,-1.2,
IVN.TO,Yahoo,4.0,4.9,,-16.8,26.2,
EVD.DE,Yahoo,4.0,35.5,16.9,10.9,13.9,-33.6
RHM.DE,Yahoo,4.0,17.8,15.7,11.5,21.1,
AG.TO,Yahoo,4.0,-0.3,26.4,,25.1,
AGI.TO,Yahoo,4.0,9.7,30.1,185.8,17.8,
6526.T,Yahoo,4.0,13.8,1.4,3.6,6.6,
ENT.L,Yahoo,4.0,-3.0,7.0,,-34.3,-20.6
ON,SEC,11.0,8.8,0.3,8.4,16.9,21.7
QUAL3.SA,Yahoo,4.0,8.4,-9.9,-51.7,-1.4,0.5
FIS,SEC,11.0,-0.1,-14.5,-10.4,4.1,14.7
MOS,SEC,11.0,7.2,3.9,-4.8,2.4,
CIGI.TO,Yahoo,4.0,10.3,7.6,24.4,46.3,
CSL.AX,Yahoo,4.0,4.6,6.0,,-2.1,34.9
NFLX,SEC,11.0,18.7,37.9,38.1,28.2,
7974.T,Yahoo,4.0,15.0,13.0,-0.6,9.2,-4.4
GBF.DE,Yahoo,4.0,11.9,8.0,87.8,7.0,43.5
LEN,SEC,11.0,15.0,29.5,29.6,14.5,
III.L,Yahoo,4.0,,4.8,4.4,22.4,11.2
ACN,SEC,11.0,8.5,7.7,6.9,17.7,11.4
HOOD,SEC,5.0,,25.3,,3.0,
9888.HK,Yahoo,4.0,5.0,1.4,-16.0,6.0,
2413.T,Yahoo,4.0,14.5,15.0,0.2,10.5,-4.4
EQX.TO,Yahoo,4.0,3.4,24.0,,35.1,
AT1.DE,Yahoo,4.0,-0.7,-1.1,,-5.9,1.1
PCAR3.SA,Yahoo,4.0,-0.2,3.3,,-43.2,
ALB,SEC,11.0,5.5,33.2,,21.5,6.1
CPRT,SEC,11.0,12.6,-19.8,13.7,48.4,28.5
